"","ID","CALAGUA","ESCASEZ","Falta_ab","falla_AB","inf","PRESHDRL","SUBSIDE","USOSUEL","PRESME","dev_agua","FALTA_D","gasto","Pet_del_dren","abast","edad","Pop_ageb","I_ix","S_M","S_sd","F_M","F_sd"
"85",776,0.54559821248487,0,0.0625,0.125,0.5675,0.675431743709183,1,0.533058241681335,0.0625,0,1,0,1,123,14,2115,0.56818,0,0,0,0
"86",777,0.307768262404867,0,0.0625,0.0313,0.3943,0.56656892857177,1,0.344701425695572,0.0625,0,1,0,1,25,6,1310,0.3758,0,0,0,0
"87",778,0.904480686752317,0,0.0625,0.0313,0.9858,0.627933327572892,1,0.086416153187715,0.0625,0,1,0,1,32,6,981,0.43321,0,0,0,0
"88",779,0.255140637525426,0,0.0625,0.0313,0.8257,0.558513480795401,1,0.89107283506694,0.0625,0,1,0,0.5,10,6,1243,0.4487,0,0,0,0
"89",780,0.040329521453749,0,0.0625,0.0313,0.8929,0.696140845014389,1,0.786830830999122,0.0625,0,1,0,1,33,6,1115,0.40638,0,0,0,0
"90",781,0.450729965266755,0,0.0625,0.0313,0.7189,0.19630732900027,1,0.843127744131146,0,0,1,0,1,33,6,1172,0.42251,0,0,0,0
"91",787,0.885364965152647,0,0.0625,0.25,0.6571,0.008920935402997,0,0.403214888067563,0,0,1,0,0.351943,27,18,3814,0.70048,0,0,0,0
"92",788,0.393653575127107,0,0.125,0.25,0.3426,0.65645941683492,0,0.877475823057184,0,0,1,0,0.351943,162,18,8091,0.68911,0,0,0,0
"93",789,0.891188981750293,0,0.0625,0.5,0.6991,0.200402606339944,0,0.516361180934807,0,0,1,0,0.351943,80,33,3795,0.93991,0,0,0,0
"94",790,0.767152705059076,0,0.125,0.5,0.0725,0.608846491193308,0,0.214252481116282,0,0,1,0,0.351943,185,33,2105,0.89113,0,0,0,0
"95",791,0.563457623289935,0,0.0625,0.25,0.2265,0.828841785484582,0,0.878196410641278,0,0,1,0,0.351943,77,18,4533,0.76444,0,0,0,0
"96",792,0.657273623063029,0,0.125,0.25,0.1203,0.257308230749254,0,0.689956699234578,0,0,1,0,0.351943,161,18,5456,0.86512,0,0,0,0
"97",793,0.08744140289299,0,0.0625,0.25,0.2893,0.627784549528153,0,0.106052600065052,0,0,1,0,0.351943,108,18,3941,0.9216,0,0,0,0
"98",794,0.770835307390764,0,0.0625,0.5,0.2516,0.332693502283321,0,0.094365375296726,0,0,1,0,0.351943,45,33,3855,0.86574,0,0,0,0
"99",795,0.14717093253696,0,0.125,0.25,0.3935,0.723128497265249,0,0.719124797577974,0,0,1,0,0.351943,200,18,6910,0.86187,0,0,0,0
"100",796,0.749891490802376,0,0.125,0.25,0.3217,0.652202985749642,0,0.889037508358295,0,0,1,0,0.351943,233,18,5853,0.86147,0,0,0,0
"101",797,0.767521431581322,0,0.0625,0.25,0.9125,0.223061782679538,0,0.996638631088649,0,0,1,0,0.351943,61,18,5586,0.64429,0,0,0,0
"102",798,0.26897940456449,0,0.0625,0.25,0.6803,0.384792527698024,0,0.087756069389603,0,0,1,0,0.351943,66,18,1714,0.6968,0,0,0,0
"103",799,0.335228812911185,0,0.0625,0.0625,0.2631,0.280394856915842,0,0.331288901964911,0,0,1,0,0,6,9,0,0,0,0,0,0
"104",800,0.915466878205431,0,0.0625,0.0625,0.6225,0.029451869833138,0,0.157654828510339,0,0,1,0,0.351943,54,9,1179,0.85663,0,0,0,0
"105",801,0.227588864056375,0,0.0625,0.0625,0.7175,0.307396583901384,0,0.085056163667607,0,0,1,0,0,0,9,0,0,0,0,0,0
"106",802,0.202410858661623,0,0.0625,0.25,0.0244,0.876733475437268,0,0.974032253180961,0,0,1,0,0.351943,99,18,2596,0.71597,0,0,0,0
"107",803,0.743700716035253,0,0.0625,0.0625,0.2265,0.03547152187327,0,0.042712421906244,0,0,1,0,0.351943,57,9,2259,0.96002,0,0,0,0
"108",804,0.467183268514415,0,0.25,0.25,0.4546,0.163466157914057,0,0.141788895450246,0,0,1,0,0.351943,354,18,6229,0.91703,0,0,0,0
"109",805,0.358533125907836,0,0.0625,0.0625,0.2045,0.663151456523468,0,0.512127492046796,0.0625,0,1,0,0.351943,8,9,225,0.95669,0,0,0,0
"110",806,0.365038609779817,0,0.0625,0.25,0.1883,0.322605763460368,0,0.287524180559989,0.0625,0,1,0,0.351943,47,18,4499,0.93612,0,0,0,0
"111",807,0.32675385125034,0,0.0625,0.25,0.3198,0.455259831387787,0,0.789871722430386,0.0625,0,1,0,0.351943,125,18,2914,0.92589,0,0,0,0
"112",808,0.602461495048905,0,0.0625,0.25,0.2174,0.219731686445627,0,0.418219107483793,0.0625,0,1,0,0.351943,77,18,5966,0.6887,0,0,0,0
"113",809,0.213184945785021,0,0.0625,0.25,0.1675,0.616797178024985,0,0.441547874869582,0.0625,0,1,0,0.351943,7,18,2242,0.67187,0,0,0,0
"114",810,0.692969249915619,0,0.125,0.25,0.8964,0.582221200239462,0,0.62475366134844,0.25,0,1,0,0.351943,284,18,4828,0.83193,0,0,0,0
"115",811,0.962662647461628,0,0.125,0.25,0.0682,0.643362852428574,0,0.316955777309491,0.25,0,1,0,0.351943,242,18,7146,0.60654,0,0,0,0
"116",812,0.238567431349348,0,0.0625,0.25,0.5687,0.296090675317842,0,0.247206491654387,0.0625,0,1,0,0.351943,89,18,5320,0.7325,0,0,0,0
"117",813,0.058673304141679,0,0.0625,0.25,0.9846,0.014750882440616,0,0.021579564470911,0.0625,0,1,0,0.351943,13,18,1050,0.79506,0,0,0,0
"118",814,0.657211841374814,0,0.0625,0.25,0.1249,0.34266602186722,0,0.202680040638054,0.0625,0,1,0,0.351943,1,18,960,0.80347,0,0,0,0
"119",815,0.374377525509797,0,0.0625,0.25,0.4871,0.777631205905143,0,0.996939489573282,0.125,0,1,0,0.351943,11,18,1690,0.73399,0,0,0,0
"120",816,0.035314787033031,0,0.0625,0.25,0.7122,0.216468902573921,0,0.814127287313187,1,0,1,0,0.351943,3,18,1257,0.80874,0,0,0,0
"121",817,0.943519874919928,0,0.0625,0.25,0.3078,0.410377376467378,0,0.41883992916306,0.125,0,1,0,0.351943,3,18,1200,0.77798,0,0,0,0
"122",818,0.879152345601652,0,0.0625,0.25,0.6753,0.619295310439615,0,0.479805499944578,0.125,0,1,0,0.351943,6,18,5272,0.59955,0,0,0,0
"123",819,0.713733672149568,0,0.0625,0.25,0.5795,0.151823720133733,0,0.925714444637503,0.0625,0,1,0,0.351943,5,18,821,0.77623,0,0,0,0
"124",820,0.716676925335582,0,0.0625,0.125,0.6327,0.569903431177123,0,0.987829309336125,0.0625,0,1,0,0.351943,43,14,935,0.94606,0,0,0,0
"125",821,0.352460052162903,0,0.0625,0.125,0.6908,0.923732593500895,0,0.293138468525823,0.125,0,1,0,0.351943,106,14,3257,0.95639,0,0,0,0
"126",822,0.565050727963393,0,0.0625,0.125,0.9602,0.455335133273604,0,0.9456267575625,0.25,0,1,0,0.351943,66,14,1970,0.94896,0,0,0,0
"127",823,0.893312886073366,0,0.0625,0.25,0.8193,0.794275003452029,0,0.609750971520518,0.5,0,1,0,0.351943,21,18,778,0.93104,0,0,0,0
"128",824,0.129585908348487,0,0.0625,0.25,0.636,0.327140859753676,0,0.488799149548535,0.25,0,1,0,0.351943,9,18,3792,0.60657,0,0,0,0
"129",825,0.518590113558114,0,0.0625,0.25,0.8021,0.755096295785451,0,0.73836978156299,0.125,0,1,0,0.351943,30,18,747,0.74708,0,0,0,0
"130",826,0.237389003237635,0,0.125,0.25,0.7137,0.655283574335317,0,0.558688618302937,0.125,0,1,0,0.351943,228,18,6486,0.58032,0,0,0,0
"131",827,0.523402164729857,0,0.0625,0.0625,0.8808,0.628531500439765,0,0.167491071718654,0.0625,0,1,0,0.351943,18,9,1459,0.70147,0,0,0,0
"132",828,0.605770730600443,0,0.0625,0.25,0.8659,0.684566004024122,0,0.480501050693305,0.0625,0,1,0,0.351943,69,18,3374,0.70826,0,0,0,0
"133",829,0.290576984473156,0,0.0625,0.0625,0.1479,0.400991831898706,0,0.441644985508545,0.0625,0,1,0,0.351943,31,9,1743,0.83938,0,0,0,0
"134",830,0.434388609283609,0,0.0625,0.0313,0.6689,0.228238313434527,0,0.34319130979993,0.0625,0,1,0,0.351943,0,6,229,0.7905,0,0,0,0
"135",831,0.225826844453874,0,0.0625,0.25,0.3836,0.052400417285829,0,0.872132210478427,0.0625,0,1,0,0.351943,70,18,5030,0.90235,0,0,0,0
"136",832,0.396956639154792,0,0.125,0.25,0.0757,0.465213762201527,0,0.657156456935613,0.0625,0,1,0,0.351943,183,18,7817,0.72329,0,0,0,0
