X,Y,SP_ID,AGEB_ID,CVEGEO,antiguedad,abastecimi,capacidad,cal_agua,contaminat,crec_urb,desp_agua,desv_agua,efic_serv,elevacion,escasez,falla_in,Falta_in,falta_dren,gasto,health,ingreso,monto,obstruc,pet_del_dr,pet_usr_d,poblacion,ponding,pres_hid,CM,estado,municipio,KMEANS5,PRECIP,ACUIF
-98.9774602183319,19.5992767980131,36,679,"""1500200150463""",6,225,9999,75,48,0,9,0,68,0,0.0625,0.056,0.0645,1,0,9999,0.68602,76,100,1,0,5315,9999,2,0.075035,15,2,9999,9999,3
-98.9773581481934,19.5903934576916,37,680,"""1500200150478""",6,243,9999,43,14,0,29,0,41,0,0.0625,0.099,0.0954,1,0,9999,0.68552,81,65,1,0,6230,9999,44,0.157155,15,2,9999,9999,3
-98.9807451687872,19.5901377764278,38,681,"""1500200150482""",6,506,9999,74,59,0,62,0,15,0,0.0625,0.083,0.0108,1,0,9999,0.63654,33,47,1,0,7937,9999,93,0.126248,15,2,9999,9999,3
-98.9744181420548,19.5979076473926,39,682,"""1500200150497""",6,166,9999,86,89,0,61,0,20,0,0.0625,0.053,0.0137,1,0,9999,0.63557,94,64,1,0,2985,9999,62,0.069902,15,2,9999,9999,3
-98.9843132934221,19.6041997186057,40,683,"""1500200150533""",9,415,9999,29,32,93.75,87,0,27,0,0.0625,0.084,0.0286,1,0,9999,0.56592,90,59,0.5,1.1,1621,9999,9,0.097015,15,2,9999,9999,3
-98.9787357637888,19.6161975099602,41,684,"""1500200150548""",14,287,9999,74,60,0,32,0,25,0,0.0625,0.07,0.0642,1,0,9999,0.49284,51,17,1,0.9,4199,9999,19,0.005132,15,2,9999,9999,3
-98.9809479454405,19.6083817716183,42,685,"""1500200150552""",14,131,9999,26,5,15.38,31,0,83,0,0.0625,0.097,0.0755,1,0,9999,0.49155,86,45,1,0.6,3489,9999,11,0.056764,15,2,9999,9999,3
-98.9885710780874,19.5931166989054,43,686,"""1500200150567""",9,4177,9999,32,58,100,23,0,11,0,0.0625,0.124,0.0055,1,0,9999,0.56327,15,41,0.25,0,4186,9999,52,0.171939,15,2,9999,9999,3
-98.9819936563729,19.60396335314,44,687,"""1500200150571""",9,747,9999,98,67,100,65,0,84,0,0.0625,0.063,0.0065,1,0,9999,0.41456,18,63,0.5,0,1356,9999,96,0.056346,15,2,9999,9999,3
-98.9851235790328,19.5998066905583,45,688,"""1500200150586""",9,3045,9999,23,45,100,42,0,10,0,0.0625,0.086,0.054,1,0,9999,0.5116,30,0,0.5,0.9,3203,9999,89,0.100697,15,2,9999,9999,3
-98.9867010230602,19.5965442614874,46,689,"""1500200150590""",9,2541,9999,42,5,100,22,0,17,0,0.0625,0.108,0.063,1,0,9999,0.52406,71,41,0.25,0,2547,9999,42,0.14159,15,2,9999,9999,3
-98.9821088841281,19.5953917033176,47,690,"""1500200150603""",9,1563,9999,82,57,100,27,0,7,0,0.0625,0.073,0.0451,1,0,9999,0.39389,43,40,0.5,0,1563,9999,66,0.075425,15,2,9999,9999,3
-98.9838898740544,19.5909646284731,48,691,"""1500200150618""",9,1165,9999,84,9,100,6,0,43,0,0.0625,0.094,0.0589,1,0,9999,0.44846,36,0,0.25,0,1165,9999,82,0.1159,15,2,9999,9999,3
-98.9853771446263,19.5865908892556,49,692,"""1500200150622""",9,1673,9999,41,97,90.48,93,0,52,0,0.0625,0.122,0.0234,1,0,9999,0.43222,91,67,0.25,12.5,1681,9999,84,0.168815,15,2,9999,9999,3
